,Companion Map: bit.ly/sfstairmap,,,Contact: info@urbanhikersf.com,,,
,Based on the index of Stairway Walks of San Francisco by Mary Burk and Adah Bakalinsky,,,Instagram/Twitter: @urbanhikersf,,,
,More info: See FAQ tab below.,,,Facebook: www.facebook.com/urbanhikersf,,,
,"Neighborhood/
Category",Rating,Description,# of Stairs!,Photo?,,Legend for ratings and colors on map and in spreadsheet
,Alamo Square,3,"Alamo Square. Fulton at Pierce, into square.",,https://photos.app.goo.gl/ceHtCe2pKJWgo8tWA,,"5 - The Scheherazade category. These stairways surprise the walker. Elegant or rustic, short or long, they exhibit variety, stir the imagination, and delight the senses."
,Alamo Square,3,"Alamo Square. Fulton at Steiner, into square.",,https://photos.app.goo.gl/y8AFqLgDw23Kza7N9,,4 - Impressive qualities with minor shortcomings; one outstanding aspect or extremely attractive design.
,Alamo Square,3,"Alamo Square. Grove at Scott, into square.",,https://photos.app.goo.gl/iQHdGme7H3EsvNiC7,,"3 - Little known but deserving of wider recognition because of the environs, human-made or natural. Neighborhood is generally very attractive."
,Alamo Square,3,"Alamo Square. Grove at Steiner, into square.",,https://photos.app.goo.gl/tbjnLjdTE6Kn4ixA6,,"2 - Intrinsic to neighborhood history and ambiance. Well trodden. Functional. In most cases, the architectural context rates considerably higher than the stairway itself, or the view may be worth the visit."
,Alamo Square,3,"Alamo Square. Hayes at Pierce, into square.",,https://photos.app.goo.gl/Taz2Nauwtyf5Ehxo9,,1 - It may be so boring that you'll fall asleep on the first landing. 
,Alamo Square,2,"Alamo Square. Hayes/Scott & Pierce. Divided street, four separate stairways",,https://photos.app.goo.gl/9hFTAqKd53z5JHpo6,,Black map marker - Need to verify existence or add to spreadsheet
,Alcatraz Island,3,Agave Trail.,,https://photos.app.goo.gl/L3tegd9rJpBfsBjr7,,Beige rows - These stairways are not listed in the index of Stairway Walks in San Francisco. I added them to this list myself.
,Alcatraz Island,2,Multiple stairways around the lighthouse and Administration Building.,,,,
,Alcatraz Island,2,Prisoner Garden/Recreation Yard,,https://photos.app.goo.gl/QYxTnVKJe3B1muRB6,,
,Anza Vista,4,"Lone Mtn., from No. 401 Parker to Beaumont to Stanyan to Rossi. Long narrow streets, church spires, views of Angel Island and west; nice series of Victorians on McAllister off Parker.",,https://photos.app.goo.gl/vvebp9tB2HmemNw88,,More info
,Anza Vista,2,Arbol Lane/Anza Vista & Turk. Good everyday route.,,https://photos.app.goo.gl/fZQNMne7F1edAuQB7,,Shortlink to this sheet: bit.ly/sfstairsheet
,Anza Vista,2,"Arguello/Anza & Edward, into Rossi Recreation Center. Large granite planter bowls at entrance of two granite stairways.",,https://photos.app.goo.gl/Ax2WgQP5pHPr5Mwu7,,Shortlink to companion map: bit.ly/sfstairmap
,Anza Vista,2,"Ewing at Nos.196-200 to Anza, near Collins. Ewing Court was a baseball field at one time. Clever.",,https://photos.app.goo.gl/uMLiq7QFQLSGmLQJ9,,Questions? Corrections? Edits? Anything else? Email info@urbanhikersf.com.
,Anza Vista,2,Vicha Ratanapakdee Way/Terra Vista & O'Farrell at No. 90 Terra Vista.,,https://photos.app.goo.gl/xphTrK1TKjC6A1fz7,,Social media
,Anza Vista,1,Geary and Broderick,,https://photos.app.goo.gl/EQhwM7G7Gw7ro8pa9,,Follow me on social media:
,Anza Vista,1,O'Farrell & Lyon. Rounding a corner.,,https://photos.app.goo.gl/xphTrK1TKjC6A1fz7,,Twitter
,Balboa Park,3,Naglee/Alemany & Cayuga. Mosaic!,,https://photos.app.goo.gl/3QrxP2AninvpsqC98,,
,Balboa Park,2,"Alemany, near Rousseau to Mission.",,https://photos.app.goo.gl/6efsZKZaQ1NbrCSH6,,Instragram (@urbanhikersf)
,Balboa Park,2,"Balboa Park. San Jose, near Ocean, into park.",,https://photos.app.goo.gl/TThrTvpMokUb6Gox9,,Facebook
,Balboa Park,2,Cayuga Park Clubhouse.,,https://photos.app.goo.gl/ry3BKwMdZ8u7Ea3U7,,Buy my books:
,Balboa Park,2,Cayuga Park. Through sculptures and leading up to Alemany Boulevard.,,https://photos.app.goo.gl/DrkaWT5zUU267k817,,Urban Trails: San Francisco
,Balboa Park,2,Cayuga Park. Up to Playground.,,https://photos.app.goo.gl/2xeVkf2qjGSmx1NC7,,Urban Trails: East Bay
,Balboa Park,2,"Geneva, near Ocean. Skyway to City College; stairways midspan to MUNI Metro.",,https://photos.app.goo.gl/a15EQextVCAD2gZf6,,Urban Trails: Peninsula and South Bay
,Balboa Park,2,Oneida/Alemany & Cayuga.,,https://photos.app.goo.gl/QcZTxLunumyhrRY9A,,Stay in touch
,Balboa Park,1,Cayuga Park. Behind playground.,,https://photos.app.goo.gl/XT5Pa3KowVUSPwTk7,,Join my email list—sign up at https://www.urbanhikersf.com
,Balboa Park,1,Mission at Trumbull to Alemany.,,https://photos.app.goo.gl/Ec3vHouucvXFqeSS9,,
,Balboa Park,1,Naglee Avenue leading into Cayuga Park basketball courts.,,https://photos.app.goo.gl/Yf9EZPSHDkc2Sqwu9,,
,Balboa Park,1,Restani Way & No. 718 Geneva.,,"https://photos.app.goo.gl/iCEveuQiUXntWV7QA
Photo by Brett Lider",,
,BART and MUNI Metro Stations,4,"Powell BART-Muni Metro Station at Halladie Plaza, east of Cyril Magnin. Two stairways.",,https://photos.app.goo.gl/sTtRn25gsuxQRp7C9,,
,BART and MUNI Metro Stations,3,"16th St. BART Station at Mission, down into station.",,https://photos.app.goo.gl/TcuHHJCqhLoqcewq7,,
,BART and MUNI Metro Stations,3,Rose Pak Station. Outside station to rooftop plaza. (Some extra stairs on the side of this stairway too.),24,https://photos.app.goo.gl/nP3P3L64vfE6Lo4Q9,,
,BART and MUNI Metro Stations,3,Church MUNI Metro Station. Both sides of Market Street down into station. ,,https://photos.app.goo.gl/6vLvWfDLhadsPgpL8,,
,BART and MUNI Metro Stations,3,"Glen Park BART Station at Diamond/Bosworth & Monterey, down into station.",,,,
,BART and MUNI Metro Stations,3,"24th St. BART Station at Mission, down into station.",,https://photos.app.goo.gl/8kyndE8na6AcdnBRA,,
,BART and MUNI Metro Stations,3,"Montgomery BART-MUNI Metro Station at Montgomery & Market, down into station.",,,,
,BART and MUNI Metro Stations,3,"Powell BART-Muni Metro Station at Halladie Plaza, west of Cyril Magnin.",,https://photos.app.goo.gl/na6S2WijQYvHTWcF7,,
,BART and MUNI Metro Stations,2,"Balboa Park BART-Muni Metro Station at Geneva & San Jose, down into station",,,,
,BART and MUNI Metro Stations,2,"Castro MUNI Metro Station at Castro & Market, down into station.",,https://photos.app.goo.gl/wom15cfT1taHYk5b6,,
,BART and MUNI Metro Stations,2,Civic Center BART-MUNI Metro station. Multiple stairways.,,https://photos.app.goo.gl/1oNQFxkD9F5xHesF9,,
,BART and MUNI Metro Stations,2,"Forest Hill MUNI Metro Station at Laguna Honda, near Dewey, inside station",,,,
,BART and MUNI Metro Stations,2,Glen Park BART Station at Monterey at Diamond.,,https://photos.app.goo.gl/7zKbM5e3mvsa5bZE7,,
,BART and MUNI Metro Stations,2,Monterey to San Jose. Down to San Jose Ave. J station.,,https://photos.app.goo.gl/SEBFwckqBgja1HeK7,,
,BART and MUNI Metro Stations,2,Montgomery BART-MUNI Metro station. Multiple stairways.,,https://photos.app.goo.gl/cXQG8Q7ocvFyGdzB7,,
,BART and MUNI Metro Stations,2,Powell BART-MUNI Metro station. Multiple stairways.,,https://photos.app.goo.gl/SSWYriHfRXMCTVTA7,,
,BART and MUNI Metro Stations,2,"Van Ness MUNI Metro Station at Van Ness & Market, down into station.",,https://photos.app.goo.gl/9Zkw44DobGchJvACA,,
,BART and MUNI Metro Stations,2,West Portal MUNI Metro Station at West Portal & Ulloa.,,https://photos.app.goo.gl/ftRNM8gHVwTrpWU99,,
,BART and MUNI Metro Stations,1,"Glen Park BART station. Two small stairways near bike share area.
",,https://photos.app.goo.gl/AoEZ9Wvb9cxwuivx7,,
,BART and MUNI Metro Stations,1,https://photos.app.goo.gl/bW6W9g55uZvSb8zAA,,https://photos.app.goo.gl/ZXqaqJRouK61DXwP8,,
,Bayview,5,Aurelious Walker Stairway/Flights of Fancy/Aurelious Walker & Innes. Mosaic!,,https://photos.app.goo.gl/bmUQJq3HAbYnzECr5,,
,Bayview,5,"Quesada Gardens Mosaic Steps. Quesada-Upper Quesada to Lower Quesada, near Newhall. Mural at the bottom of the stairs.",,https://photos.app.goo.gl/KS91dZSY9u69mLtK7,,
,Bayview,3,"Hilltop Park. LaSalle at Osceola, up to park.",,https://photos.app.goo.gl/ArcWqfrHPRojeHvC6,,
,Bayview,3,LaSalle-Upper LaSalle to Lindsay Circle.,,https://photos.app.goo.gl/g4u6hnHJLAXHvc2c8,,
,Bayview,3,Promontory Park. Part of Hunters View housing development. Fairfax Ave./Keith St. & Acacia Ave. Multiple stairways around periphery of park.,,https://photos.app.goo.gl/UWVyXsW1otq5BcDU6,,
,Bayview,3,Youngblood Coleman Recreation Center. Hudson Ave./Mendell & Keith. Stairways alongside concrete slide.,,https://photos.app.goo.gl/4zF3A7mUYXT7L2K97,,
,Bayview,3,Youngblood Coleman Recreation Center. Stairway through center of park and continuing down to Lane Street entrance.,,"Center of park: https://photos.app.goo.gl/fLzNDWCGL1jPhqqf9
Lane Street entrance: https://photos.app.goo.gl/cZn42cbpNB1YVUbPA",,
,Bayview,2,"Adam Rogers Park, leading to Garlington Ct.",,https://photos.app.goo.gl/Hr4zUKPGTbnS15br8,,
,Bayview,2,Adam Rogers Park. Down to playground.,,https://photos.app.goo.gl/7DiwUYGxVFjqwKQD8,,
,Bayview,2,Bayview Park. Crumbling red stairway.,,https://photos.app.goo.gl/MJXEwBK1mrdcqRkq8,,
,Bayview,2,Center of Adam Rogers Park,,https://photos.app.goo.gl/3BBm6mzG9Epk2Yuv7,,
,Bayview,2,End of Oakdale Avenue into Adam Rogers Park.,,"https://photos.app.goo.gl/fhLXCNNYnqubTxCW9 and
https://photos.app.goo.gl/GwgfhCtXqdomsWM56",,
,Bayview,2,End of Whitfield Court into Adam Rogers Park. Few stairways.,,https://photos.app.goo.gl/W2u1qWK6KiQvTRun7,,
,Bayview,2,Gilman Playground from the intersection of Griffith & Ingerson.,,,,
,Bayview,2,Gilroy & Jamestown.,,,,
,Bayview,2,Hawes & Innes.,,https://photos.app.goo.gl/bJhXJfQx9YrWQBQKA,,
,Bayview,2,Hilltop Park. Up to sundial.,,https://photos.app.goo.gl/gvtzcfdmoZNe3SLo7,,
,Bayview,2,Hillview Court/Whitney Young Cir. & Cashmere St.,,https://photos.app.goo.gl/vX7Ayt8diSD87Gzx5,,
,Bayview,2,India Basin Shoreline Park. In Playground.,,https://photos.app.goo.gl/udomJUYw5pxkk2Sk9,,
,Bayview,2,"Jamestown Ave & Jennings St., at corner.",11,https://photos.app.goo.gl/VHhNb8B4kH1srhnG7,,
,Bayview,2,Key at 3rd Street,,https://photos.app.goo.gl/U822V4yyV5XYckoT7,,
,Bayview,2,Key at Jennings.,,https://photos.app.goo.gl/U55xX8UVMpuRNDbRA,,
,Bayview,2,"La Salle Ave., up to high school.",,https://photos.app.goo.gl/v5qeUueknEQntGnb7,,
,Bayview,2,Lane to No.1501 Lower LaSalle.,,https://photos.app.goo.gl/wsVSHW98G7CCUE7c7,,
,Bayview,2,LaSalle & Osceola to Health Center.,,https://photos.app.goo.gl/BYZpeJzTq6ZGS2pT8,,
,Bayview,2,LaSalle to Hilltop Park/Osceola & Garlington Court.,,https://photos.app.goo.gl/HeJSQjQkGV9pEzyT6,,
,Bayview,2,"Le Conte Ave. & Jennings St., at corner",10,https://photos.app.goo.gl/ZEkooayDaTGvd87b8,,
,Bayview,2,Quesada/Newhall & 3rd St. (Between Upper and Lower Quesada). Three stairways: two concrete stairways and one wood stairway.,,"Concrete stairway example: https://photos.app.goo.gl/ztWkNeMtq87Mcehw5
Wood stairway: https://photos.app.goo.gl/VfKpBjomWuUJ2BhM7",,
,Bayview,2,Revere/Newhall & 3rd St. Sidewalk stairways on both sides of the street and stairways from the sidewalk to the street.,,"Example stairway to street: https://photos.app.goo.gl/2zXnfLBEEFhw8XJy6

Top of street: https://photos.app.goo.gl/ugzQxsfNzNW7AF2H9",,
